,쿠카쿠,(주)쿠카쿠,2017-06-01,3년4개월,0,3 명
80,커피홀(coffee hole),(자)동명식품서울지점,2011-07-14,9년3개월,25,47 명
81,해리스카페,(주)해리스,2010-02-01,10년8개월,24,10 명
82,꿀스커피GGUL'S COFFEE,(주)정직한,2018-04-26,2년6개월,23,8 명
83,아임일리터,㈜아임일리터,2017-04-15,3년6개월,22,0 명
84,허니빈스(HoneyBean's),씨엔지글로벌(주),2012-06-15,8년4개월,22,5 명
85,커피왕,(주)다다컴퍼니,2016-12-09,3년10개월,22,4 명
86,카페게이트,(유)에브라임이노베이션,2014-03-12,6년7개월,21,62 명
87,커피더캠프,(주)커피더캠프,2016-12-01,3년10개월,21,11 명
88,cafe051(카페051),051커피컴퍼니,2015-12-26,4년10개월,21,15 명
89,코페아커피(COFFEA COFFEE),(주)감성인터내셔널,2007-03-01,13년7개월,21,17 명
90,카페보노,보노파슨스,2013-04-10,7년6개월,20,1 명
91,데니스,데니스,2013-04-04,7년6개월,20,3 명
92,줄리앙 와플,(주)브라더푸드,2015-12-01,4년10개월,20,11 명
93,카페리빈,(주)리빈코리아,2014-07-03,6년3개월,18,43 명
94,에슬로우커피(ESLOW COFFEE),(주)에슬로우,2015-03-16,5년7개월,18,4 명
95,블레스롤(Bless Roll),블레스롤가맹본부,2015-10-12,5년0개월,18,23 명
96,팬도로시,(주)올리브홀딩스,2008-08-07,12년2개월,17,13 명
97,카페라떼르,(주)트루프렌드에프앤씨,2014-04-04,6년6개월,17,5 명
98,루머팡,(주)루머팡,2008-05-28,12년5개월,17,9 명
99,라떼킹(latteking),블루빈컴퍼니(주),2009-03-17,11년7개월,16,17 명
100,리프패럿(LIP Parrot),L.I.PParrotCompany,2017-03-05,3년7개월,16,4 명
101,카페인중독,(주)중독컴퍼니,2017-07-16,3년3개월,15,11 명
102,반반스프링스커피(BANBANSPRINGS COFFEE),반반스프링스,2015-08-05,5년2개월,15,1 명
103,전광수커피,(주)전광수커피,2016-03-21,4년7개월,15,9 명
104,블랙라인커피,(주)카페발트,2014-06-23,6년4개월,14,7 명
105,cafe65℃,(주)육십오도씨,2014-05-10,6년5개월,14,5 명
106,에이미스커피(Amy's Coffee),(주)에이미스코리아,2011-08-29,9년2개월,14,3 명
107,슈퍼사이즈커피,(주)에스에이치리테일,2014-10-08,6년0개월,14,47 명
108,플루800,플루800,2017-01-01,3년9개월,13,1 명
109,케이엠엘리 갤러리카페,(주)케이엠엘리,2017-12-30,2년10개월,13,14 명
110,워너커피(WANNA COFFEE),(유)워너커피,2014-06-23,6년4개월,13,5 명
111,카페뚤레,(주)카페뚤레(cafeTule),2018-04-12,2년6개월,13,10 명
112,빌리브라운(BILLYBROWN),빌리브라운,2016-04-01,4년6개월,12,1 명
113,마노핀,(주)엠피그룹,2012-04-21,8년6개월,12,247 명
114,카페도헤이 왕의커피,(주)카페도헤이,2016-04-20,4년6개월,12,10 명
115,커피101스트릿(COFFEE 101 STREET),㈜커피101스트릿,2015-08-15,5년2개월,11,2 명
116,바리스타비,(주)바리스타비,2009-09-13,11년1개월,11,5 명
117,도노텀블,(주)도노텀블,2015-12-01,4년10개월,11,8 명
118,킹스빈,킹스빈코리아,2015-11-20,4년11개월,11,3 명
119,플레이스38커피,더피그컴퍼니,2018-08-16,2년2개월,11,1 명
120,9cafe,(주)비비인터내셔널,2016-09-01,4년1개월,10,8 명
121,라드커피(LAD COFFEE),라드커피,2015-04-04,5년6개월,10,1 명
122,까사밍고,(주)라이온에프지,2013-10-04,7년0개월,10,7 명
123,아로이커피(Aroicoffee),아로이,2014-06-25,6년4개월,10,1 명
124,경성코페,(주)경성글로벌,2017-02-19,3년8개월,10,9 명
125,브라우니70,(주)브라우니웍스,2012-02-20,8년8개월,10,29 명
126,빨콩,(주)오구본가,2014-09-16,6년1개월,10,20 명
127,로반스윗,(주)로반스윗,2017-10-24,3년0개월,9,7 명
128,아임홈,(주)아임홈팩토리,2018-03-29,2년7개월,9,2 명
129,라벨스하이디,부산우유프랜차이즈사업부,2018-03-17,2년7개월,9,319 명
130,일리 카페 (illy caffe),(주)큐로에프앤비,2010-05-25,10년5개월,9,60 명
131,쉬즈베이글 커피,(주)쉬즈베이글,2018-11-07,1년11개월,9,2 명
132,카페에스파니,카페에스파니,2012-03-02,8년7개월,9,1 명
133,카작,(주)늘푸른이야기,2013-07-25,7년3개월,9,3 명
134,에이바우트커피,㈜메이크어베러(Makeabetter),2017-06-15,3년4개월,9,15 명
135,베러먼데이,베러먼데이드링크코리아(주),2016-07-25,4년3개월,9,3 명
136,카페코나퀸즈,카페코나퀸즈(주),2015-04-21,5년6개월,9,39 명
137,커피사피엔스,커피사피엔스,2014-05-21,6년5개월,8,3 명
138,카페홀릭(CAFE HOLIC),(주)카페홀릭,2015-01-25,5년9개월,8,5 명
139,엘아르카,엘아르카,2017-02-01,3년8개월,8,1 명
140,텐퍼센트스페셜티커피,(주)더쉐프,2018-01-02,2년9개월,8,7 명
141,LANG STUDY CAFE(랭스터디카페),(주)더뉴웨이스,2017-08-25,3년2개월,8,9 명
142,토리스타특별한커피,토리스타씨앤에스(toristarC&S),2016-06-30,4년4개월,8,3 명
143,크레이저커피(C.Razer coffee),(주)크레이저커피그룹,2014-11-12,5년11개월,8,9 명
144,더착한커피,(주)더바른사람들,2018-10-17,2년0개월,8,15 명
145,프롬하츠(FROM HEARTS),(주)프롬하츠,2016-03-01,4년7개월,8,11 명
146,더마스터커피,(주)제이윈스(Jwins),2017-03-24,3년7개월,8,4 명
147,닐리스(Nilli's),(주)라파미코,2015-11-02,4년11개월,7,4 명
148,휘드카페,휘드카페,2017-04-01,3년6개월,7,1 명
149,벨라빈스커피,(주)놀부,2009-09-21,11년1개월,7,288 명
150,백금당,백금당,2017-07-01,3년3개월,7,2 명
151,성별 에이유,성별에프터유,2018-02-09,2년8개월,7,1 명
152,커피가예쁘다,BALENASIXCOFFEECOMPANY,2008-02-04,12년8개월,7,1 명
153,히즈빈스(HISBEANS),(주)향기내는사람들,2013-08-23,7년2개월,6,49 명
154,하겐커피,하겐커피,2009-10-26,11년0개월,6,1 명
155,카페플라타너스(PLATANUS),(주)세화에프앤씨,2013-06-01,7년4개월,6,2 명
156,the 3 SECTOR CAFE,(주)책임,2018-04-13,2년6개월,6,13 명
157,아프리카커피초콜릿,(주)아프리카커피가게앤학원,2016-06-01,4년4개월,6,13 명
158,카페앤스터프,카페앤스터프체인본부,2011-06-02,9년4개월,6,2 명
159,나인어클락커피,(주)나인어클락,2014-08-01,6년2개월,6,3 명
160,루고,(주)이랜드이츠,2012-08-29,8년2개월,6,0 명
