,언론사,제목,원문링크
0,아시아경제,"[속보] ""대규모 확산 억제 중이지만 언제든 유행 번질 수 있어""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=277&aid=0004782825
1,연합뉴스,"박훈 변호사, '룸살롱 술접대 의혹' 검사 실명 공개(종합)",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=001&aid=0011981460
2,연합뉴스,"박훈 변호사, '룸살롱 술접대' 검사 실명·얼굴 공개",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=001&aid=0011981264
3,연합뉴스TV,신규 확진 사흘째 100명대…곳곳 산발적 집단감염,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=422&aid=0000454579
4,조선일보,"[단독] 野 “靑, 주호영 몸수색후 본회의장에 권총무장 경호원 투입”",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=023&aid=0003572553
5,동아일보,바이든 “텃밭 블루월 싹쓸이”… 트럼프 “사회주의 국가 원하나”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=020&aid=0003317619
